,Unnamed: 0,problem_id,problem,assign,user_answer,scoring_criterion,correct_scoring_criterion,keyword_criterion,correct_keyword_criterion,annotator
0,0,7,[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,jack,쿠키는 개인 PC에 text로 저장된다. 세션은 접속중인 웹 서버에 Object로 저장된다. 속도는 세션보다 쿠키가 더 빠르다. 왜냐하면 세션은 DB와 통신을 해야하기 때문이다.,"['세션이 쿠키보다 보안에 유리하다.', '세션이 쿠키보다 속도가 느리다.', '쿠키는 클라이언트측에 저장되고, 세션은 서버에 저장이 된다.', '세션은 브라우저가 종료되면 만료기간이 남아있어도 삭제된다.']","[1, 2]","['라이프사이클', '보안', '저장위치', '속도']","[2, 3]",mjw8523@gmail.com
1,1,7,[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,jack,"세션이 쿠키에 비해 보안도 높은 편이나 쿠키를 사용하는 이유는세션은 서버에 저장되고, 서버자원을 사용하기 때문에 사용자가 많을 경우 소모되는 자원이 상당하다.이러한 자원관리 차원에서 쿠키와 세션을 적절한 요소 및 기능에 병행 사용하여,서버 자원의 낭비를 방지하며 웹사이트의 속도를 높일 수 있다. ","['세션이 쿠키보다 보안에 유리하다.', '세션이 쿠키보다 속도가 느리다.', '쿠키는 클라이언트측에 저장되고, 세션은 서버에 저장이 된다.', '세션은 브라우저가 종료되면 만료기간이 남아있어도 삭제된다.']","[0, 1, 2]","['라이프사이클', '보안', '저장위치', '속도']","[1, 2, 3]",mjw8523@gmail.com
2,2,7,[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,jack,"쿠키와 세션의 가장 큰 차이점은 정보가 저장되는 위치입니다. 쿠키는 서버의 자원을 전혀 사용하지 않으며, 세션은 서버의 자원을 사용합니다. 보안 면에서 세션이 더 우수하며, 요청 속도는 쿠키가 세션보다 더 빠릅니다. 그 이유는 세션은 서버의 처리가 필요하기 때문입니다. ","['세션이 쿠키보다 보안에 유리하다.', '세션이 쿠키보다 속도가 느리다.', '쿠키는 클라이언트측에 저장되고, 세션은 서버에 저장이 된다.', '세션은 브라우저가 종료되면 만료기간이 남아있어도 삭제된다.']","[0, 1]","['라이프사이클', '보안', '저장위치', '속도']","[1, 2, 3]",mjw8523@gmail.com
3,3,7,[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,jack,쿠키는 클라이언트 로컬에 저장되기 때문에 변질되거나 request에서 스니핑 당할 우려가 있어서 보안에 취약하지만 세션은 쿠키를 이용해서 sessionid만 저장하고 그것으로 구분해서 서버에서 처리하기 때문에 보안성이 좋습니다. ,"['세션이 쿠키보다 보안에 유리하다.', '세션이 쿠키보다 속도가 느리다.', '쿠키는 클라이언트측에 저장되고, 세션은 서버에 저장이 된다.', '세션은 브라우저가 종료되면 만료기간이 남아있어도 삭제된다.']","[0, 2]","['라이프사이클', '보안', '저장위치', '속도']","[1, 2]",mjw8523@gmail.com
4,4,7,[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,jack,"쿠키도 만료시간이 있지만 파일로 저장되기 때문에 브라우저를 종료해도 계속해서 정보가 남아 있을 수 있습니다. 또한 만료기간을 넉넉하게 잡아두면 쿠키삭제를 할 때 까지 유지될 수도 있습니다. 반면에 세션도 만료시간을 정할 수 있지만 브라우저가 종료되면 만료시간에 상관없이 삭제됩니다. 예를 들어, 크롬에서 다른 탭을 사용해도 세션을 공유됩니다. 다른 브라우저를 사용하게 되면 다른 세션을 사용할 수 있습니다. ","['세션이 쿠키보다 보안에 유리하다.', '세션이 쿠키보다 속도가 느리다.', '쿠키는 클라이언트측에 저장되고, 세션은 서버에 저장이 된다.', '세션은 브라우저가 종료되면 만료기간이 남아있어도 삭제된다.']",[3],"['라이프사이클', '보안', '저장위치', '속도']",[0],mjw8523@gmail.com
5,5,7,[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,jack,"쿠키에 정보가 있기 때문에 서버에 요청시 속도가 빠르고 세션은 정보가 서버에 있기 때문에 처리가 요구되어 비교적 느린 속도를 가집니다. 
","['세션이 쿠키보다 보안에 유리하다.', '세션이 쿠키보다 속도가 느리다.', '쿠키는 클라이언트측에 저장되고, 세션은 서버에 저장이 된다.', '세션은 브라우저가 종료되면 만료기간이 남아있어도 삭제된다.']",[1],"['라이프사이클', '보안', '저장위치', '속도']",[3],mjw8523@gmail.com
6,6,7,[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,jack,쿠키는 클라이언트의 웹 브라우저가 지정하는 메모리 또는 하드디스크에 저장하고 세션은 서버의 메모리에 저장합니다. 저장할 때 쿠키는 text형식으로 저장하고 세션은 Object 형식으로 저장합니다. ,"['세션이 쿠키보다 보안에 유리하다.', '세션이 쿠키보다 속도가 느리다.', '쿠키는 클라이언트측에 저장되고, 세션은 서버에 저장이 된다.', '세션은 브라우저가 종료되면 만료기간이 남아있어도 삭제된다.']",[2],"['라이프사이클', '보안', '저장위치', '속도']",[2],mjw8523@gmail.com
7,7,7,[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,jack,쿠키는 클라이언트에 저장되고 클라이언트의 메모리를 사용하기 때문에 서버의 자원을 사용하지 않는다. 하지만 세션은 서버에 저장되고 서버의 메모리로 로딩이 되기 때문에 세션이 생길때마다 서버의 리소스를 차지한다. ,"['세션이 쿠키보다 보안에 유리하다.', '세션이 쿠키보다 속도가 느리다.', '쿠키는 클라이언트측에 저장되고, 세션은 서버에 저장이 된다.', '세션은 브라우저가 종료되면 만료기간이 남아있어도 삭제된다.']",[2],"['라이프사이클', '보안', '저장위치', '속도']",[2],mjw8523@gmail.com
8,8,7,[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,jack,"쿠키는 저장할 때 expires 속성을 정의해 무효화 시키면 삭제될 날짜를 지정할 수 있다. (따로 지정되지 않은 경우에는 브라우저 종료시 만료) 반면에 세션은 클라이언트가 로그아웃하거나, 설정한 시간동안 반응이 없을경우 무효화 되기 때문에 정확한 시점을 알 수 없다. ","['세션이 쿠키보다 보안에 유리하다.', '세션이 쿠키보다 속도가 느리다.', '쿠키는 클라이언트측에 저장되고, 세션은 서버에 저장이 된다.', '세션은 브라우저가 종료되면 만료기간이 남아있어도 삭제된다.']",[3],"['라이프사이클', '보안', '저장위치', '속도']",[0],mjw8523@gmail.com
9,9,7,[네트워크 1] 쿠키와 세션의 차이점을 설명해주세요.,jack,"쿠키는 자동완성이나, 팝업 일주일간 보지 않기 등 사용자의 편의를 위하는 것이지만  지워져도 되고, 조작되거나 가로채이더라도 큰 지장이 없는 수준의 정보들을 저장하는데 사용됩니다. 그리고 사용자나 다른 누군가에게 노출되면 안되는 중요한 정보들은 세션으로 서버안에서 다뤄집니다. 쿠키로 노출시켜서는 안될 정보들이 있고, 세션을 남발하면 서버에 부담이 되어 과부하가 일어나기 때문에 웹을 설계할 때는 이 정보는 쿠키에 저장할 지 세션에 저장할 지 적절한 판단을 내릴 수 있어야 합니다.","['세션이 쿠키보다 보안에 유리하다.', '세션이 쿠키보다 속도가 느리다.', '쿠키는 클라이언트측에 저장되고, 세션은 서버에 저장이 된다.', '세션은 브라우저가 종료되면 만료기간이 남아있어도 삭제된다.']","[0, 2]","['라이프사이클', '보안', '저장위치', '속도']","[1, 2]",mjw8523@gmail.com
