is_gradable,standard_answer,problem_id,score,grading_standard_id,created_at,updated_at,content,score,type,problem_id
,"먼저 **저장위치**에 차이가 있습니다. 쿠키는 클라이언트측에 저장되고 세션은 서버측에 저장이 됩니다. 세션은 서버를 거쳐야 하기 때문에 세션이 쿠키보다 **속도**가 느린 대신 **보안**에 유리합니다.

그리고 **라이프사이클**에 차이가 있는데 둘 다 만료기간을 정해놓지만 세션은 브라우저가 종료되면 세션 스토리지에 세션 아이디가 사라지기 때문에 만료기간에 상관없이 삭제됩니다.",443,10,741,2022-09-28 06:57:11.026982,2022-09-28 06:57:11.026982,저장위치,2,KEYWORD,443
,"먼저 **저장위치**에 차이가 있습니다. 쿠키는 클라이언트측에 저장되고 세션은 서버측에 저장이 됩니다. 세션은 서버를 거쳐야 하기 때문에 세션이 쿠키보다 **속도**가 느린 대신 **보안**에 유리합니다.

그리고 **라이프사이클**에 차이가 있는데 둘 다 만료기간을 정해놓지만 세션은 브라우저가 종료되면 세션 스토리지에 세션 아이디가 사라지기 때문에 만료기간에 상관없이 삭제됩니다.",443,10,742,2022-09-28 06:57:11.028075,2022-09-28 06:57:11.028075,보안,1,KEYWORD,443
,"먼저 **저장위치**에 차이가 있습니다. 쿠키는 클라이언트측에 저장되고 세션은 서버측에 저장이 됩니다. 세션은 서버를 거쳐야 하기 때문에 세션이 쿠키보다 **속도**가 느린 대신 **보안**에 유리합니다.

그리고 **라이프사이클**에 차이가 있는데 둘 다 만료기간을 정해놓지만 세션은 브라우저가 종료되면 세션 스토리지에 세션 아이디가 사라지기 때문에 만료기간에 상관없이 삭제됩니다.",443,10,743,2022-09-28 06:57:11.029956,2022-09-28 06:57:11.029956,라이프사이클,1,KEYWORD,443
,"먼저 **저장위치**에 차이가 있습니다. 쿠키는 클라이언트측에 저장되고 세션은 서버측에 저장이 됩니다. 세션은 서버를 거쳐야 하기 때문에 세션이 쿠키보다 **속도**가 느린 대신 **보안**에 유리합니다.

그리고 **라이프사이클**에 차이가 있는데 둘 다 만료기간을 정해놓지만 세션은 브라우저가 종료되면 세션 스토리지에 세션 아이디가 사라지기 때문에 만료기간에 상관없이 삭제됩니다.",443,10,744,2022-09-28 06:57:11.030618,2022-09-28 06:57:11.030618,속도,1,KEYWORD,443
,"먼저 **저장위치**에 차이가 있습니다. 쿠키는 클라이언트측에 저장되고 세션은 서버측에 저장이 됩니다. 세션은 서버를 거쳐야 하기 때문에 세션이 쿠키보다 **속도**가 느린 대신 **보안**에 유리합니다.

그리고 **라이프사이클**에 차이가 있는데 둘 다 만료기간을 정해놓지만 세션은 브라우저가 종료되면 세션 스토리지에 세션 아이디가 사라지기 때문에 만료기간에 상관없이 삭제됩니다.",443,10,745,2022-09-28 06:57:11.031278,2022-09-28 06:57:11.031278,"쿠키는 클라이언트측에 저장되고, 세션은 서버에 저장이 된다.",2,PROMPT,443
,"먼저 **저장위치**에 차이가 있습니다. 쿠키는 클라이언트측에 저장되고 세션은 서버측에 저장이 됩니다. 세션은 서버를 거쳐야 하기 때문에 세션이 쿠키보다 **속도**가 느린 대신 **보안**에 유리합니다.

그리고 **라이프사이클**에 차이가 있는데 둘 다 만료기간을 정해놓지만 세션은 브라우저가 종료되면 세션 스토리지에 세션 아이디가 사라지기 때문에 만료기간에 상관없이 삭제됩니다.",443,10,746,2022-09-28 06:57:11.031998,2022-09-28 06:57:11.031998,세션이 쿠키보다 보안에 유리하다.,1,PROMPT,443
,"먼저 **저장위치**에 차이가 있습니다. 쿠키는 클라이언트측에 저장되고 세션은 서버측에 저장이 됩니다. 세션은 서버를 거쳐야 하기 때문에 세션이 쿠키보다 **속도**가 느린 대신 **보안**에 유리합니다.

그리고 **라이프사이클**에 차이가 있는데 둘 다 만료기간을 정해놓지만 세션은 브라우저가 종료되면 세션 스토리지에 세션 아이디가 사라지기 때문에 만료기간에 상관없이 삭제됩니다.",443,10,747,2022-09-28 06:57:11.032670,2022-09-28 06:57:11.032670,세션이 쿠키보다 속도가 느리다.,1,PROMPT,443
,"먼저 **저장위치**에 차이가 있습니다. 쿠키는 클라이언트측에 저장되고 세션은 서버측에 저장이 됩니다. 세션은 서버를 거쳐야 하기 때문에 세션이 쿠키보다 **속도**가 느린 대신 **보안**에 유리합니다.

그리고 **라이프사이클**에 차이가 있는데 둘 다 만료기간을 정해놓지만 세션은 브라우저가 종료되면 세션 스토리지에 세션 아이디가 사라지기 때문에 만료기간에 상관없이 삭제됩니다.",443,10,748,2022-09-28 06:57:11.034126,2022-09-28 06:57:11.034126,세션은 브라우저가 종료되면 만료기간이 남아있어도 삭제된다.,1,PROMPT,443
,"동일한 요청을 한 번 보내는 것과 여러 번 연속으로 보내는 것이 같은 효과를 지니고, 서버의 상태도 동일하게 남을 때, 해당 HTTP 메서드가 멱등성을 가졌다고 말합니다.
대표적으로 GET은 멱등성을 가지며, POST는 멱등성을 가지지 않습니다.",446,10,920,2022-10-01 14:30:29.806083,2022-10-01 14:30:29.806083,상태,2,KEYWORD,446
,"동일한 요청을 한 번 보내는 것과 여러 번 연속으로 보내는 것이 같은 효과를 지니고, 서버의 상태도 동일하게 남을 때, 해당 HTTP 메서드가 멱등성을 가졌다고 말합니다.
대표적으로 GET은 멱등성을 가지며, POST는 멱등성을 가지지 않습니다.",446,10,921,2022-10-01 14:30:29.843210,2022-10-01 14:30:29.843210,동일한 요청,1,KEYWORD,446
